Store Name,Product Name,UPI,Product Category,Product Main Image URL,Primary Licensor
Hannah's Closet - The Official Boutique for Delta Gamma,True Royal Marble Heart Delta Gam Crew,UPI26061877071,Shirts > Short sleeve t-shirts,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/1.2_8227f50d-b3b1-4607-8c07-5f2e273ac870.jpg?v=1735852686,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Blue kyanite pendant with Do Good charm. Goldtone paperclip chain.B ,UPI26061817141,Jewelry > Necklaces,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/1.jpg?v=1735852516,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,"Cherry agate bracelet, silver tone anchor",UPI2606188418,Jewelry > Bracelets,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/12.jpg?v=1735852512,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,"Mustard green agate bracelet, crystal anchorB ",UPI26061892342,Jewelry > Bracelets,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/13.jpg?v=1735852511,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,White Delta Gamma Est Cup,UPI26061817941,Drinkware > Stadium cups,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/15-22-1.jpg?v=1735852526,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,6 Sticker Sheet,UPI2606184178,Promotional > Stickers,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/17804.jpg?v=1735852524,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,"Rust agate heart, Do Good charm, stainless steel paperclip chain.",UPI26061826901,Jewelry > Necklaces,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/2.jpg?v=1735852515,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Lewis Pennant Tee,UPI26061895541,Shirts > Short sleeve t-shirts,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/2514133-1717-WASHEDDENIM-BACK.jpg?v=1749056693,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,"quartz, mustard jade and brass Hope pendant, black suede",UPI26061836502,Jewelry > Necklaces,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/4.jpg?v=1735852514,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,"Grey pearl, tiger eye, caramel suede, Do Good charm",UPI2606182498,Jewelry > Necklaces,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/9.jpg?v=1735852512,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Convention 2026 Crewneck Sweatshirt,UPI26061888661,Sweatshirts > Crewneck sweatshirts,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/COWGIRLS2601908-1.jpg?v=1770058020,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Convention 2026 Short Sleeve Tee,UPI26061801141,Shirts > Short sleeve t-shirts,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/COWGIRLS2601908-2.jpg?v=1770057799,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Clear tote bag,UPI26061832341,Bags > Tote bags,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/DGBAG.jpg?v=1770836273,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Beach Towel,UPI2606181234,Towels > Beach towels,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/DGBEACHTOWEL2.jpg?v=1771346152,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Flip-Flops,UPI26061843861,Footwear > Flip flops,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/DGFF1.jpg?v=1770836213,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Navy with Pink Shadow Script Crew,UPI2606184738,Sweatshirts > Crewneck sweatshirts,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/download_1.jpg?v=1748972382,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Tie Dye EST.1873 Script Crew,UPI2606183058,Shirts > Short sleeve t-shirts,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/download_2.jpg?v=1748975370,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Outline Crewneck,UPI2606181634,Sweatshirts > Crewneck sweatshirts,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/download_3.jpg?v=1748973687,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Outline Crewneck,UPI26061885303,Sweatshirts > Crewneck sweatshirts,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/download_4.jpg?v=1748973865,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,White and Pink delta gamma tote,UPI2606184242,Bags > Tote bags,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/download_5.jpg?v=1757787676,DELTA GAMMA
Hannah's Closet - The Official Boutique for Delta Gamma,Anchor Game Hat,UPI2606188546,Headwear > Billed hats,https://cdn.shopify.com/s/files/1/0016/2745/5563/files/download_6.jpg?v=1757787776,DELTA GAMMA
