"Store Name","Product ID","Product Name",Vendor,UPI,"Product Category","Product Main Image URL","Primary Licensor"
"Shop aKDPhi",9051072364788,"Khaki Diamond Hat","Shop aKDPhi",UPI26061847886,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250037VC300AKHAKI_1.jpg?v=1749238217,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051075150068,"Tri Heart Hat","Shop aKDPhi",UPI260618006810,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250036VC300ALAVENDER.jpg?v=1749238707,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051076493556,"Script Hat","Shop aKDPhi",UPI26061835568,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250035VC300AWHITE.jpg?v=1749239348,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051077083380,"Vertical Tote","DZ Dezigns",UPI260618338012,,https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250034Q800NATURAL.jpg?v=1749239566,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051077574900,"Diamond Tote Bag","Shop aKDPhi",UPI26061849007,"Bags > Tote bags",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250033Q800BLACK.jpg?v=1749239771,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051077935348,"Classic Tote","Shop aKDPhi",UPI26061853485,"Bags > Tote bags",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250032Q800PURPLE.jpg?v=1749239939,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051078820084,"Tri Heart Tote","Shop aKDPhi",UPI260618008410,"Bags > Tote bags",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250031Q800WHITE.jpg?v=1749240107,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051080098036,"Purple Bow Crop Tank","Shop aKDPhi",UPI26061880365,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500301013WHITE.jpg?v=1749240237,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051080589556,"Jogger Shorts","Shop aKDPhi",UPI260618955610,"Apparel > Shorts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250029TD062BLACK.jpg?v=1749240493,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051082293492,"Cropped Maria Hoodie","Shop aKDPhi",UPI26061834929,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250028TD085BLACK.jpg?v=1749240817,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051083735284,"Since 1990 Hoodie","Shop aKDPhi",UPI26061852846,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002718000ASHFRONT.jpg?v=1749241238,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051086848244,"aKDPhi Star Hoodie","Shop aKDPhi",UPI26061882446,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002618500ORCHIDBACK.jpg?v=1749242033,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051087306996,"3-Peat Crop Tee","Shop aKDPhi",UPI26061869964,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500251010BLACK.jpg?v=1749242199,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051087864052,"Key Heart Hoodie","Shop aKDPhi",UPI26061840525,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002418500PURPLEFRONT.jpg?v=1749242411,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051088421108,"Bonnie Crewneck","Shop aKDPhi",UPI26061811086,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002318000SAND.jpg?v=1749242570,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051089502452,"Tri Heart Tee","Shop aKDPhi",UPI26061824524,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500221717ORCHID.jpg?v=1749243032,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051090321652,"Convex Tee","Shop aKDPhi",UPI26061816526,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500211717WHITE.jpg?v=1749243199,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051091468532,"Classic Crewneck","Shop aKDPhi",UPI26061885327,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002018000WHITE.jpg?v=1749243356,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051091894516,"Classic Crewneck","Shop aKDPhi",UPI26061845165,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002018000PURPLE.jpg?v=1749243509,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051093238004,"Grape Flower Tee","Shop aKDPhi",UPI26061880044,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500191717GRAPE.jpg?v=1749243684,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051094417652,"Be Bold Crewneck","Shop aKDPhi",UPI260618765210,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25001818000ASH.jpg?v=1749243867,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051097694452,"Purple Pullover","Shop aKDPhi",UPI26061844526,"Outerwear > Jackets",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500179905PURPLE.jpg?v=1749244399,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051098611956,"Purple V-Neck","Shop aKDPhi",UPI26061819565,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500166405PURPLE.jpg?v=1749244663,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051098775796,"Classic Hoodie","Shop aKDPhi",UPI26061857967,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25001518500WHITEfront.jpg?v=1749244822,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051099169012,"Ivory Diamond Tee","Shop aKDPhi",UPI260618901210,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500141717IVORY.jpg?v=1749245207,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051099693300,"Script Crewneck","Shop aKDPhi",UPI26061833005,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25001318000WHITE.jpg?v=1749245294,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051100020980,"Diamond Sticker","Shop aKDPhi",UPI260618098013,"Promotional > Stickers",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250012STICKER.jpg?v=1749245455,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051100479732,"1990 Sticker","Shop aKDPhi",UPI26061897324,"Promotional > Stickers",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250011STICKER.jpg?v=1749245638,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051101167860,Sweatpants,"Shop aKDPhi",UPI26061878605,"Apparel > Shorts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250010973MRASH.jpg?v=1749245795,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051101430004,"Diamond Hoodie","Shop aKDPhi",UPI26061800043,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250009996MRASHfront.jpg?v=1749246064,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051102019828,"Classic Plum Hoodie","Shop aKDPhi",UPI26061898288,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250008SS4500PLUMback.jpg?v=1749246486,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051102183668,"Purple Letter Hat","Shop aKDPhi",UPI26061836688,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250007VC300APURPLE.jpg?v=1749246636,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051102544116,"Classic Tee","Shop aKDPhi",UPI26061841167,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500061717GRAPE.jpg?v=1749246776,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051105951988,"Alpha Kappa Delta Phi","Shop aKDPhi",UPI26061819887,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25000518000PURPLE.jpg?v=1749247644,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051106148596,"1990 Ivory Tee","Shop aKDPhi",UPI26061885968,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500041717IVORY.jpg?v=1749247798,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051106312436,"Script Crop Tee","Shop aKDPhi",UPI26061824366,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500031010WHITE.jpg?v=1749247909,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051106869492,"Bella Shorts","DZ Dezigns",UPI26061894925,,https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZD24GL108BELLA3797MAUVE.jpg?v=1721691062,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9051107000564,"Bella Crewneck","Shop aKDPhi",UPI26061805644,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250001BELLA3945.jpg?v=1749248474,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9052486926580,test,"Shop aKDPhi",UPI26061865804,"Promotional > Tokens",,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9155155689716,"Alpha Kappa Delta Phi Bow Knitted crew neck sweater","Shop aKDPhi",UPI260618971612,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/Front.jpg?v=1759417181,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9191262388468,"Lucky To Be Hoodie","Shop aKDPhi",UPI26061884689,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25010118500ORCHIDback_10a13166-d4b4-4608-84f9-01ca40ad81ee.jpg?v=1763834761,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9191263174900,"Unique Crewneck","Shop aKDPhi",UPI26061849008,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25010218000WHITEback_94bba39b-b593-4a0c-b995-de958f04b9dc.jpg?v=1763834788,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9191263535348,"Flutter Tee","Shop aKDPhi",UPI26061853486,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2501031717IVORY_627909ad-3580-4843-9e5d-fb128765ecba.jpg?v=1763834812,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9191263961332,"Graphic Crop Tee","Shop aKDPhi",UPI26061813325,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2501041010SOLIDWHITEBLEND.jpg?v=1763834837,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9191264452852,"Friendship Crop Tee","Shop aKDPhi",UPI26061828525,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2501051010SOLIDNATURALBLEND_e0456b30-6e14-42b4-b3b4-30c49e0cc29d.jpg?v=1763834723,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9211746484468,"Ugly Knitted Sweater","SDT Boutique",UPI26061844689,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/Front_6681e907-b1fb-469d-a61e-60a4bddb0e04.jpg?v=1763058402,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474614296820,"Noir Crewneck","Shop aKDPhi",UPI26061868205,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000118000BLACK_9bc34f03-f0de-4939-8ebb-8e049f396511.jpg?v=1779474695,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474614460660,"Cherry Crewneck","Shop aKDPhi",UPI26061806606,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000218000NATURAL.jpg?v=1779473294,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474617901300,"Love and Friendship Hoodie","Shop aKDPhi",UPI260618130011,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000418500BLACKback.jpg?v=1779474042,"alpha KAPPA DELTA PHI"
