"Store Name","Product Name",UPI,"Product Category","Product Main Image URL","Primary Licensor"
"DPHIE Designs","Spell It Out Tank",UPI2606181486,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19301-2.jpg?v=1735840648,"DELTA PHI EPSILON"
"DPHIE Designs","Slant Tank",UPI2606186366,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19302.jpg?v=1735840647,"DELTA PHI EPSILON"
"DPHIE Designs","Fresh Prints Tank",UPI2606186542,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19303-2.jpg?v=1735840646,"DELTA PHI EPSILON"
"DPHIE Designs","Established Tank",UPI2606181518,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19304.jpg?v=1735840646,"DELTA PHI EPSILON"
"DPHIE Designs","Women Support Women Tee",UPI2606186382,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19306.jpg?v=1571676134,"DELTA PHI EPSILON"
"DPHIE Designs","Citrus Tee",UPI2606189790,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19307-2.jpg?v=1571676912,"DELTA PHI EPSILON"
"DPHIE Designs","Script Tee",UPI2606188734,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19308-2.jpg?v=1571677046,"DELTA PHI EPSILON"
"DPHIE Designs","Script Tank",UPI2606188862,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19309-2.jpg?v=1571677361,"DELTA PHI EPSILON"
"DPHIE Designs","Stacked Tank",UPI26061853261,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19310-2.jpg?v=1735840645,"DELTA PHI EPSILON"
"DPHIE Designs","Neon Repeater Tank",UPI2606188574,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19312.jpg?v=1735840644,"DELTA PHI EPSILON"
"DPHIE Designs","Purple Stack Tank",UPI2606188798,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19313-2.jpg?v=1571681961,"DELTA PHI EPSILON"
"DPHIE Designs","In Love With Tie Dye Tee",UPI2606189710,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19314.jpg?v=1735840644,"DELTA PHI EPSILON"
"DPHIE Designs","Unicorn Tee",UPI2606185710,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19315-2.jpg?v=1735840643,"DELTA PHI EPSILON"
"DPHIE Designs","Birthday Balloons Tank",UPI26061884141,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19316-2.jpg?v=1735840643,"DELTA PHI EPSILON"
"DPHIE Designs","Watercolor Tank",UPI2606188174,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19317-2.jpg?v=1735840642,"DELTA PHI EPSILON"
"DPHIE Designs","DPHIE Established Tee",UPI2606185086,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19318-2.jpg?v=1571682637,"DELTA PHI EPSILON"
"DPHIE Designs","Rainbow Wave Tee",UPI26061879661,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19319-2.jpg?v=1571682724,"DELTA PHI EPSILON"
"DPHIE Designs","DPHIE Classic Henley",UPI2606180542,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19320.jpg?v=1571682961,"DELTA PHI EPSILON"
"DPHIE Designs","Calvin Tee",UPI2606180142,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_19321-2.jpg?v=1571683125,"DELTA PHI EPSILON"
"DPHIE Designs","Navy Tone on Tone Dad Hat",UPI2606181054,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_17302.jpg?v=1572295054,"DELTA PHI EPSILON"
"DPHIE Designs","Iris Alumna Decal",UPI2606188430,"Promotional > Stickers",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_17403-2.jpg?v=1572295688,"DELTA PHI EPSILON"
"DPHIE Designs","Black Sherpa 1/4 Zip",UPI26061830061,"Sweatshirts > 1/4 zip sweatshirts",https://cdn.shopify.com/s/files/1/0258/8229/6398/products/DFD_17501-2.jpg?v=1572295903,"DELTA PHI EPSILON"
