"Store Name","Product Name",Vendor,UPI,"Product Category","Product Main Image URL","Primary Licensor"
"DZ Dezigns","Big Year Crew","DZ Dezigns",UPI2606186314,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-BigYear2_1_473e953f-5a8e-4689-92b5-bf84f63e9227.jpg?v=1785898345,"DELTA ZETA"
"DZ Dezigns","ABC Tee","DZ Dezigns",UPI2606185050,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-ABCTee-2_e9615f92-324d-413b-a1e5-58113d69f4b0.jpg?v=1785898336,"DELTA ZETA"
"DZ Dezigns","Baby Crewneck","DZ Dezigns",UPI2606189098,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-BabyCrew-WHITE-2_86d88ba4-c60a-40a8-b3b1-34a82a0366f9.jpg?v=1785898338,"DELTA ZETA"
"DZ Dezigns","Beverly Tee","DZ Dezigns",UPI26061836901,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Beverly1_a988bd37-c163-4811-8665-726cf26bec07.jpg?v=1785898340,"DELTA ZETA"
"DZ Dezigns","Big Heart Tee","DZ Dezigns",UPI2606184602,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-BigHeart2_407f0987-f8e2-4c35-97f3-5e1a08d86370.jpg?v=1785898342,"DELTA ZETA"
"DZ Dezigns","Born To Be Tee","DZ Dezigns",UPI2606185626,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-BorntoBe1_5854aa4f-8166-481a-b1d9-866b711290c5.jpg?v=1785898349,"DELTA ZETA"
"DZ Dezigns","Bolt Tee","DZ Dezigns",UPI2606189514,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Bolt1_d381c3e9-d26b-4190-ac72-1626480732f1.jpg?v=1785898347,"DELTA ZETA"
"DZ Dezigns","Bossy Tee","DZ Dezigns",UPI2606182122,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-BOSSYB1_ece288b1-c962-4a9b-b753-d00e451433f1.jpg?v=1785898351,"DELTA ZETA"
"DZ Dezigns","Bubble Crew","DZ Dezigns",UPI26061832261,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-BubleCrew2_8451f7b4-6c9b-4593-8d1d-6c4f55164734.jpg?v=1785898354,"DELTA ZETA"
"DZ Dezigns","Buffalo Tee","DZ Dezigns",UPI26061803461,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Buffalo2_3609c15c-fd2e-462b-a028-110358e25f50.jpg?v=1785898356,"DELTA ZETA"
"DZ Dezigns","Cacti Tee","DZ Dezigns",UPI2606188570,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Cacti-1_57d23c9e-4dba-4643-8dc0-caaf6b48f552.jpg?v=1785898358,"DELTA ZETA"
"DZ Dezigns","Calvin Tee","DZ Dezigns",UPI26061887781,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Calvin1_7ac20814-d5d4-482c-afe4-3857b21c8fc8.jpg?v=1785898360,"DELTA ZETA"
