"Store Name","Product Name",Vendor,UPI,"Product Category","Product Main Image URL","Primary Licensor"
"Shop aKDPhi","Khaki Diamond Hat","Shop aKDPhi",UPI26061847886,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250037VC300AKHAKI_1.jpg?v=1749238217,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Tri Heart Hat","Shop aKDPhi",UPI260618006810,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250036VC300ALAVENDER.jpg?v=1749238707,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Script Hat","Shop aKDPhi",UPI26061835568,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250035VC300AWHITE.jpg?v=1749239348,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Vertical Tote","DZ Dezigns",UPI260618338012,"Bags > Tote bags",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250034Q800NATURAL.jpg?v=1749239566,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Diamond Tote Bag","Shop aKDPhi",UPI26061849007,"Bags > Tote bags",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250033Q800BLACK.jpg?v=1749239771,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Classic Tote","Shop aKDPhi",UPI26061853485,"Bags > Tote bags",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250032Q800PURPLE.jpg?v=1749239939,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Tri Heart Tote","Shop aKDPhi",UPI260618008410,"Bags > Tote bags",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250031Q800WHITE.jpg?v=1749240107,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Purple Bow Crop Tank","Shop aKDPhi",UPI26061880365,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500301013WHITE.jpg?v=1749240237,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Jogger Shorts","Shop aKDPhi",UPI260618955610,"Apparel > Shorts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250029TD062BLACK.jpg?v=1749240493,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Cropped Maria Hoodie","Shop aKDPhi",UPI26061834929,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250028TD085BLACK.jpg?v=1749240817,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Since 1990 Hoodie","Shop aKDPhi",UPI26061852846,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002718000ASHFRONT.jpg?v=1749241238,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","aKDPhi Star Hoodie","Shop aKDPhi",UPI26061882446,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002618500ORCHIDBACK.jpg?v=1749242033,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","3-Peat Crop Tee","Shop aKDPhi",UPI26061869964,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500251010BLACK.jpg?v=1749242199,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Key Heart Hoodie","Shop aKDPhi",UPI26061840525,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002418500PURPLEFRONT.jpg?v=1749242411,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Bonnie Crewneck","Shop aKDPhi",UPI26061811086,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002318000SAND.jpg?v=1749242570,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Tri Heart Tee","Shop aKDPhi",UPI26061824524,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500221717ORCHID.jpg?v=1749243032,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Convex Tee","Shop aKDPhi",UPI26061816526,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500211717WHITE.jpg?v=1749243199,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Classic Crewneck","Shop aKDPhi",UPI26061885327,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002018000WHITE.jpg?v=1749243356,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Classic Crewneck","Shop aKDPhi",UPI26061845165,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25002018000PURPLE.jpg?v=1749243509,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Grape Flower Tee","Shop aKDPhi",UPI26061880044,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500191717GRAPE.jpg?v=1749243684,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Be Bold Crewneck","Shop aKDPhi",UPI260618765210,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25001818000ASH.jpg?v=1749243867,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Purple Pullover","Shop aKDPhi",UPI26061844526,"Outerwear > Jackets",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500179905PURPLE.jpg?v=1749244399,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Purple V-Neck","Shop aKDPhi",UPI26061819565,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500166405PURPLE.jpg?v=1749244663,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Classic Hoodie","Shop aKDPhi",UPI26061857967,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25001518500WHITEfront.jpg?v=1749244822,"ALPHA KAPPA DELTA PHI"
