"Keyword Found","Title","Tags","Suggested Licensor"
"KAPPA","Kappa Muscle Tank","campaign_past_campaign, past_campaign_temp","Various"
"PHI","Phi Guy / Soccer shirts!","campaign_past_campaign, past_campaign_temp","Various"
"PHI","Phi Ball Triblend Racerback","campaign_past_campaign, past_campaign_temp","Various"
"PHI","Phi Ball Bro Tank","campaign_past_campaign, past_campaign_temp","Various"
"ALPHA","Alpha Breezy Crop Tank.","campaign_past_campaign, past_campaign_temp","Various"
"KAPPA","Kappa Bro Tank","campaign_past_campaign, past_campaign_temp","Various"
"RHO, GAMMA","Rho Gamma WSU Fanny Pack","campaign_past_campaign, past_campaign_temp","Various"
"RHO, GAMMA","Rho Gamma WSU Snapback","campaign_past_campaign, past_campaign_temp","Various"
"RHO, GAMMA","Rho Gamma WSU Pocket Tank","campaign_past_campaign, past_campaign_temp","Various"
"RHO, GAMMA","Rho Gamma WSU Zip-Up Hoodie","campaign_past_campaign, past_campaign_temp","Various"
"RHO, GAMMA","Rho Gamma WSU Floral Tank","campaign_past_campaign, past_campaign_temp","Various"
"KAPPA","Kappa Heart Racerback","campaign_past_campaign, past_campaign_temp","Various"
"KAPPA","Keep it Kappa Power Washed Tank","campaign_past_campaign, past_campaign_temp","Various"
"PHI","D PHI E - Syracuse Derby Days","campaign_past_campaign, past_campaign_temp","Various"
"PHI","Phi Ball Tank","campaign_past_campaign, past_campaign_temp","Various"
"PHI","Phi Ball Tank II","campaign_past_campaign, past_campaign_temp","Various"
"ALPHA, XI","Alpha Xi Leggings","campaign_past_campaign, past_campaign_temp","Various"
"SIGMA","Sigma Jam Tank","AC, campaign_past_campaign, past_campaign_temp","Various"
"ALPHA","Alpha Phifa Long Sleeve","campaign_past_campaign, past_campaign_temp","Various"
"KAPPA","Kappa Chanel Tee","campaign_past_campaign, past_campaign_temp","Various"
"KAPPA","Kappa Key Sweatpants","campaign_past_campaign, past_campaign_temp","Various"
"KAPPA","OSU ""Kappa Kristmas"" Long Sleeve","campaign_past_campaign, past_campaign_temp","Various"
"PHI","A Phi Flannels","campaign_past_campaign, past_campaign_temp","Various"
"ALPHA","Alpha Gam Boyfriend Flannel","campaign_past_campaign, past_campaign_temp","Various"
"ALPHA","Alpha Maroon Crop","campaign_past_campaign, past_campaign_temp","Various"
"ALPHA","Alpha Maroon Crop","campaign_past_campaign, past_campaign_temp","Various"
"KAPPA","Kappa Kappa Snappa Tank","campaign_past_campaign, past_campaign_temp","Various"
"DELTA","Delta Pullover","campaign_past_campaign, past_campaign_temp","Various"
"PHI, SIGMA","Phi Sigma's Boyfriend Flannel","campaign_past_campaign, past_campaign_temp","Various"
"PHI, KAPPA, PSI","Phi Kappa Psi Tank","campaign_past_campaign, past_campaign_temp","Various"
