Store Name,Product Name,UPI,Product Category,Product Main Image URL,Primary Licensor
"the-social-life-2.myshopify.com","TSL  CaboBandz™","","Sports > Wristbands","","Various"
"the-social-life-2.myshopify.com","Charcoal Grey Black Buette Crewneck Sweatshirt","","Sweatshirts > Crewneck sweatshirts","","Various"
"the-social-life-2.myshopify.com","TSL - Test Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Winterfest Tanks","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","CornHole Tourney - Tee","","Shirts > Short sleeve t-shirts","","Various"
"the-social-life-2.myshopify.com","CornHole Tourney - Racerback","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Shipwrecked CaboBandz","","Hair accessories > Headbands","","Various"
"the-social-life-2.myshopify.com","Custom Pocket Spring Break Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Kappa Muscle Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Boxy Crop Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Phi Guy / Soccer shirts!","","Shirts > Jerseys","","Various"
"the-social-life-2.myshopify.com","Custom Pocket Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Custom Pocket Tee","","Shirts > Short sleeve t-shirts","","Various"
"the-social-life-2.myshopify.com","Triad Black Unisex Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Triad Power Washed Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Roll Wave Flowy Racer Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Just Cure It Tee","","Shirts > Short sleeve t-shirts","","Various"
"the-social-life-2.myshopify.com","Just Cure It V-neck","","Shirts > Short sleeve t-shirts","","Various"
"the-social-life-2.myshopify.com","Just Cure It Crewneck","","Sweatshirts > Crewneck sweatshirts","","Various"
"the-social-life-2.myshopify.com","Spring Break Muscle Tee","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Hera Day Lyre V-Neck","","Shirts > Short sleeve t-shirts","","Various"
"the-social-life-2.myshopify.com","Hera Day Lyre V-Neck","","Shirts > Short sleeve t-shirts","","Various"
"the-social-life-2.myshopify.com","Cabo Spring Break Official Tank","","Shirts > Tank tops","","Various"
"the-social-life-2.myshopify.com","Vandal Friday ""Ramones"" Dolman","","Shirts > Short sleeve t-shirts","","Various"
"the-social-life-2.myshopify.com","Top Gun Tank","","Shirts > Tank tops","","Various"
