Product ID,Product Title,Product Type,Vendor,Product Tags,Primary Licensor
"162182741","TSL  CaboBandz™","Sports > Wristbands","TSL Couture (Private)","campaign_past_campaign, past_campaign_temp","Various"
"163519299","Pi Phi - Tote","Bags > Tote bags","Pi Beta Phi","Bag, Pi Beta Phi, RTS","Pi Beta Phi"
"163551685","EK - Dove Love Tote","Bags > Tote bags","Sigma Kappa","Accessories, Bag, blackfriday2016, Clearance Bin, RTS, saleFEB2017, Sigma Kappa","Sigma Kappa"
"163567617","Theta Love - Tote","Bags > Tote bags","Kappa Alpha Theta","Kappa Alpha Theta, RTS","Kappa Alpha Theta"
"163576847","DG - Tote","Bags > Tote bags","Delta Gamma","Delta Gamma, RTS","Delta Gamma"
"163579305","APHI - Tote","Bags > Tote bags","Alpha Phi","Alpha Phi, RTS","Alpha Phi"
"163580171","AXO - Tote","Bags > Tote bags","Alpha Chi Omega","Alpha Chi Omega, RTS","Alpha Chi Omega"
"163585375","APHI - Snapbacks","Headwear > Billed hats","Alpha Phi","Alpha Phi, Hat, Headwear, RTS","Alpha Phi"
"163585395","AXO - Snapbacks","Headwear > Billed hats","Alpha Chi Omega","Alpha Chi Omega, AXO Hidden, Hat, Headwear, RTS","Alpha Chi Omega"
"163585485","DG - Snapbacks","Headwear > Billed hats","Delta Gamma","Delta Gamma, Hat, Headwear, RTS","Delta Gamma"
"163585621","EK - Snapbacks","Headwear > Billed hats","Sigma Kappa","Hat, Headwear, RTS, Sigma Kappa","Sigma Kappa"
"163585769","GPHI - Snapbacks","Headwear > Billed hats","Gamma Phi Beta","Gamma Phi Beta, Hat, Headwear, RTS","Gamma Phi Beta"
"163585935","Theta - Snapbacks","Headwear > Billed hats","Kappa Alpha Theta","Kappa Alpha Theta, RTS","Kappa Alpha Theta"
"163586125","Pi Phi - Snapbacks","Headwear > Billed hats","Pi Beta Phi","Hat, Headwear, Pi Beta Phi, RTS","Pi Beta Phi"
"163688015","KKG - Tote","Bags > Tote bags","Kappa Kappa Gamma","Bag, Kappa Kappa Gamma, RTS","Kappa Kappa Gamma"
"163688645","KKG - Snapbacks","Headwear > Billed hats","Kappa Kappa Gamma","Hat, Headwear, Kappa Kappa Gamma, RTS","Kappa Kappa Gamma"
"164040505","CHIO - Snapbacks","Headwear > Billed hats","Chi Omega","Chi Omega, Hat, Headwear, RTS","Chi Omega"
"164302007","DG Aviator Sugar Skull 1/4 Zip","Sweatshirts > 1/4 zip sweatshirts","Delta Gamma","Delta Gamma, RTS","Delta Gamma"
"167242552","Delta Gamma 1/4 Zip Sweatshirt","Sweatshirts > 1/4 zip sweatshirts","Delta Gamma","Delta Gamma, GroupBuy, RTS","Delta Gamma"
"168289536","DG - Ombre Spirit Jersey","Shirts > Jerseys","Delta Gamma","Delta Gamma, GroupBuy, RTS","Delta Gamma"
"169522980","Pi Phi - Dash Pullover","Apparel > Sweaters","Pi Beta Phi","GroupBuy, Pi Beta Phi, RTS","Pi Beta Phi"
"191898517","AXO Symphony Lyre Long Sleeve","Shirts > Long sleeve t-shirts","Alpha Chi Omega","Alpha Chi Omega, AXO Hidden, campaign_past_campaign, GroupBuy, past_campaign_temp","Alpha Chi Omega"
"209758981","DG USA Slouchy Pullover","Apparel > Sweaters","Delta Gamma","campaign_past_campaign, Delta Gamma, GroupBuy, past_campaign_temp","Delta Gamma"
"212022181","DG - Ombre Spirit Jersey","Shirts > Jerseys","Delta Gamma","campaign_past_campaign, Delta Gamma, past_campaign_temp, University of Tampa","Delta Gamma"
"215889741","APHI - Spirit Jersey","Shirts > Jerseys","Alpha Phi","Alpha Phi, campaign_past_campaign, GroupBuy, past_campaign_temp","Alpha Phi"
"217284325","Charcoal Grey Black Buette Crewneck Sweatshirt","Sweatshirts > Crewneck sweatshirts","Delta Sigma Phi","campaign_past_campaign, past_campaign_temp","Various"
"221613573","Chi Omega Royals","Shirts > Short sleeve t-shirts","Chi Omega (Private)","campaign_past_campaign, past_campaign_temp","Chi Omega"
"222270941","Alpha Delta Pi Finest","Shirts > Short sleeve t-shirts","Alpha Delta Pi (Private)","campaign_past_campaign, past_campaign_temp","Alpha Delta Pi"
"222687629","DG - Anchor Love","Shirts > Short sleeve t-shirts","Delta Gamma","Delta Gamma, q-zip, RTS, sale bin, Sweatshirt","Delta Gamma"
"222687653","DG - Nautical Hoodie","Sweatshirts > Hooded sweatshirts","Delta Gamma","blackfriday2016, Clearance Bin, Delta Gamma, Hoodie, RTS, sale bin, saleaug2016, saleFEB2017","Delta Gamma"
"222687685","DG - Sugar Skull","Shirts > Short sleeve t-shirts","Delta Gamma","Delta Gamma, RTS","Delta Gamma"
"222687729","DG Backless Anchors Tee","Shirts > Short sleeve t-shirts","Delta Gamma","blackfriday2016, Clearance Bin, Clearance Permanent, Clearance Tee, Delta Gamma, RTS, saleaug2016, saleFEB2017, Shirt, SpringBreak2017, Tee","Delta Gamma"
"222712417","GPB Crescent","Shirts > Short sleeve t-shirts","Gamma Phi Beta","Gamma Phi Beta, RTS, shirt","Gamma Phi Beta"
"222712441","Kappa Yankees","Shirts > Short sleeve t-shirts","Kappa Kappa Gamma","AMG RTS, baseball, blackfriday2016, Clearance Bin, Clearance LS Crew, Clearance Permanent, Kappa Kappa Gamma, Long Sleeve, RTS, sale bin, saleaug2016, saleFEB2017, Shirt","Kappa Kappa Gamma"
"222712473","KKG Owl","Shirts > Short sleeve t-shirts","Kappa Kappa Gamma","Kappa Kappa Gamma, RTS","Kappa Kappa Gamma"
"222712481","KKG till the death of me","Shirts > Short sleeve t-shirts","Kappa Kappa Gamma","Kappa Kappa Gamma, RTS, Shirt","Kappa Kappa Gamma"
"222712493","Lambda Lover","Shirts > Short sleeve t-shirts","Lambda Chi Alpha","RTS","Lambda Chi Alpha"
